scanner,advisory,dependency,installed,fixed_reported,subject,applicability_evidence,risk_decision,next_action,advisory_url
OSV,DEBIAN-CVE-2025-13151,libtasn1-6,4.19.0-2+deb12u1,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2025-13151
OSV,DSA-6015-1,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DSA-6015-1
OSV,DSA-6113-1,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DSA-6113-1
OSV,DEBIAN-CVE-2023-6129,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2023-6129
OSV,DEBIAN-CVE-2023-6237,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2023-6237
OSV,DEBIAN-CVE-2024-0727,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2024-0727
OSV,DEBIAN-CVE-2024-12797,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2024-12797
OSV,DEBIAN-CVE-2024-13176,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2024-13176
OSV,DEBIAN-CVE-2024-2511,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2024-2511
OSV,DEBIAN-CVE-2024-4603,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2024-4603
OSV,DEBIAN-CVE-2024-4741,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2024-4741
OSV,DEBIAN-CVE-2024-5535,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2024-5535
OSV,DEBIAN-CVE-2024-6119,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2024-6119
OSV,DEBIAN-CVE-2024-9143,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2024-9143
OSV,DEBIAN-CVE-2025-11187,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2025-11187
OSV,DEBIAN-CVE-2025-15468,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2025-15468
OSV,DEBIAN-CVE-2025-15469,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2025-15469
OSV,DEBIAN-CVE-2025-4575,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2025-4575
OSV,DEBIAN-CVE-2025-66199,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2025-66199
OSV,DEBIAN-CVE-2025-9231,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2025-9231
OSV,DEBIAN-CVE-2026-14456,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-14456
OSV,DEBIAN-CVE-2026-14457,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-14457
OSV,DEBIAN-CVE-2026-18798,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-18798
OSV,DEBIAN-CVE-2026-2673,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-2673
OSV,DEBIAN-CVE-2026-28386,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-28386
OSV,DEBIAN-CVE-2026-28387,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-28387
OSV,DEBIAN-CVE-2026-28388,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-28388
OSV,DEBIAN-CVE-2026-28389,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-28389
OSV,DEBIAN-CVE-2026-28390,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-28390
OSV,DEBIAN-CVE-2026-31789,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-31789
OSV,DEBIAN-CVE-2026-31790,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-31790
OSV,DEBIAN-CVE-2026-34180,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-34180
OSV,DEBIAN-CVE-2026-34181,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-34181
OSV,DEBIAN-CVE-2026-34182,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-34182
OSV,DEBIAN-CVE-2026-34183,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-34183
OSV,DEBIAN-CVE-2026-35188,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-35188
OSV,DEBIAN-CVE-2026-42764,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-42764
OSV,DEBIAN-CVE-2026-42765,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-42765
OSV,DEBIAN-CVE-2026-42766,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-42766
OSV,DEBIAN-CVE-2026-42767,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-42767
OSV,DEBIAN-CVE-2026-42768,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-42768
OSV,DEBIAN-CVE-2026-42769,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-42769
OSV,DEBIAN-CVE-2026-42770,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-42770
OSV,DEBIAN-CVE-2026-45445,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-45445
OSV,DEBIAN-CVE-2026-45446,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-45446
OSV,DEBIAN-CVE-2026-45447,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-45447
OSV,DEBIAN-CVE-2026-54874,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-54874
OSV,DEBIAN-CVE-2026-54876,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-54876
OSV,DEBIAN-CVE-2026-63072,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-63072
OSV,DEBIAN-CVE-2026-63073,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-63073
OSV,DEBIAN-CVE-2026-63074,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-63074
OSV,DEBIAN-CVE-2026-63075,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-63075
OSV,DEBIAN-CVE-2026-63076,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-63076
OSV,DEBIAN-CVE-2026-7383,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-7383
OSV,DEBIAN-CVE-2026-75803,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-75803
OSV,DEBIAN-CVE-2026-9076,openssl,3.0.20-1~deb12u2,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-9076
OSV,DEBIAN-CVE-2026-5958,sed,4.9-1+deb12u1,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-5958
OSV,DEBIAN-CVE-2023-39804,tar,1.34+dfsg-1.2+deb12u1,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2023-39804
OSV,DEBIAN-CVE-2026-18477,tar,1.34+dfsg-1.2+deb12u1,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-18477
OSV,DEBIAN-CVE-2026-18508,tar,1.34+dfsg-1.2+deb12u1,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-18508
OSV,DEBIAN-CVE-2026-5704,tar,1.34+dfsg-1.2+deb12u1,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-5704
OSV,DEBIAN-CVE-2024-28085,util-linux,2.38.1-5+deb12u3,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2024-28085
OSV,DEBIAN-CVE-2026-13595,util-linux,2.38.1-5+deb12u3,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-13595
OSV,DEBIAN-CVE-2026-27456,util-linux,2.38.1-5+deb12u3,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-27456
OSV,DEBIAN-CVE-2026-3184,util-linux,2.38.1-5+deb12u3,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-3184
OSV,DEBIAN-CVE-2026-53612,util-linux,2.38.1-5+deb12u3,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-53612
OSV,DEBIAN-CVE-2026-53613,util-linux,2.38.1-5+deb12u3,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-53613
OSV,DEBIAN-CVE-2026-53614,util-linux,2.38.1-5+deb12u3,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-53614
OSV,DEBIAN-CVE-2026-53615,util-linux,2.38.1-5+deb12u3,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-53615
OSV,DEBIAN-CVE-2026-76642,util-linux,2.38.1-5+deb12u3,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-76642
OSV,DEBIAN-CVE-2026-78408,util-linux,2.38.1-5+deb12u3,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-78408
OSV,DEBIAN-CVE-2026-78409,util-linux,2.38.1-5+deb12u3,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-78409
OSV,DEBIAN-CVE-2026-78410,util-linux,2.38.1-5+deb12u3,--,deploy/agent-sandbox/sbom.spdx.json,SBOM 已核对版本,镜像含该组件；可利用路径未逐条证实，不豁免,核对 Debian backport；重建并重新验收 sandbox 镜像,https://osv.dev/DEBIAN-CVE-2026-78410
Trivy,CVE-2026-53613,bsdutils,1:2.38.1-5+deb12u3,扫描表未显示,CI 后端镜像,扫描镜像安装清单；affected,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-53613
Trivy,CVE-2026-76642,bsdutils,1:2.38.1-5+deb12u3,扫描表未显示,CI 后端镜像,扫描镜像安装清单；affected,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-76642
Trivy,CVE-2026-78408,bsdutils,1:2.38.1-5+deb12u3,扫描表未显示,CI 后端镜像,扫描镜像安装清单；affected,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-78408
Trivy,CVE-2026-78409,bsdutils,1:2.38.1-5+deb12u3,扫描表未显示,CI 后端镜像,扫描镜像安装清单；affected,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-78409
Trivy,CVE-2026-78410,bsdutils,1:2.38.1-5+deb12u3,扫描表未显示,CI 后端镜像,扫描镜像安装清单；affected,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-78410
Trivy,CVE-2026-41992,gzip,1.12-1,扫描表未显示,CI 后端镜像,扫描镜像安装清单；fix_deferred,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-41992
Trivy,CVE-2026-54369,libacl1,2.3.1-3,扫描表未显示,CI 后端镜像,扫描镜像安装清单；状态见原日志,组件命中；可利用路径未逐条证实，不豁免,核对 Debian backport 与基础镜像修复，重建扫描,https://nvd.nist.gov/vuln/detail/CVE-2026-54369
